분류,공립초등학교,공립중학교,공립고등학교,사립초등학교,사립중학교,사립고등학교,국립초등학교,국립중학교,국립고등학교
서울특별시,557,273,117,39,109,200,2,2,3
부산광역시,298,137,63,6,37,76,1,0,3
대구광역시,223,90,43,4,34,48,2,1,1
인천광역시,254,125,91,5,10,33,1,0,1
광주광역시,151,64,24,3,25,42,1,1,1
대전광역시,148,72,34,2,16,28,0,0,0
울산광역시,121,60,44,0,3,13,0,0,0
경기도,1284,543,338,3,87,135,0,0,0
강원도,376,148,89,3,15,21,1,0,1
충청북도,266,106,62,1,19,21,2,2,2
충청남도,416,146,81,1,43,36,1,1,1
전라북도,421,160,64,0,49,70,2,0,2
전라남도,467,221,96,3,34,43,1,0,0
경상북도,505,198,95,3,73,91,1,0,1
경상남도,518,189,112,2,77,78,1,1,1
제주특별자치도,118,38,20,0,6,10,1,1,1
